,,,,,,,,,,,,,,,,,,,,,
,7.,,Race:,Brands Hatch GP,,,,,,,,,,,Teamwertung,,Brands Hatch GP,,,,
,41,, Drivers             Date:,26.06.2023,Fastest Lap:,"1:22,408",by,FGR_Supergt,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_Supergt,,,,CD,CI,CJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,Roozay_33,International Racing Crew,Nissan GT-R '18,,1,,"0:50:45,834",,  41 ³,,44,,1,KotzBärTV [1],KBTV_funky,42,KBTV_Rocket,35,77
,2,,KBTV_funky,KotzBärTV,Porsche 911 RSR,,1,,"0:50:47,366","+ 0:01,532",  40 ²,,42,,2,Singen Süd Racing [1],Over_1638,38,Schweikinho,34,72
,3,,MacFracerEX,GTmen,Porsche 911 RSR,,2,,"0:51:03,949","+ 0:18,115",  39 ¹,,40,,3,GTmen [1],MacFracerEX,40,mironight1,31,71
,4,,Over_1638,Singen Süd Racing,Porsche 911 RSR,,1,,"0:51:06,708","+ 0:20,874",38,,38,,4,International Racing Crew [1],Roozay_33,44,PMR_Swissracer66,25,69
,5,,GORGI_meets_GT,Maibert MacLon Racing,Peugeot RCZ,,1,,"0:51:08,217","+ 0:22,383",37,,37,,5,KotzBärTV [2],KBTV_xpress,33,KBTV_Normbiz_GT,32,65
,6,,FGR_Supergt,Feelgood Racing,Porsche 911 RSR,,1,,"0:51:08,352","+ 0:22,518",¹ 36 ,,37,,6,Roadrunner Racing [1],Kawa-Jo,30,HankCastelli,28,58
,7,,KBTV_Rocket,KotzBärTV,Porsche 911 RSR,,2,,"0:51:08,409","+ 0:22,575",35,,35,,7,Maibert MacLon Racing [1],GORGI_meets_GT,37,Peter-zockt-1984,17,54
,8,,Schweikinho,Singen Süd Racing,McLaren 650S,,2,,"0:51:09,727","+ 0:23,893",34,,34,,8,Singen Süd Racing [2],c-maanreri,29,ren-bvb09,22,51
,9,,KBTV_xpress,KotzBärTV,Peugeot RCZ,,2,,"0:51:12,536","+ 0:26,702",33,,33,,9,de Shadaim Racing [1],mr_osaka7,23,MSWdjjc27,19,42
,10,,KBTV_Normbiz_GT,KotzBärTV,Porsche 911 RSR,,1,,"0:51:14,157","+ 0:28,323",32,,32,,10,Feelgood Racing [1],FGR_Supergt,37,,,37
,11,,mironight1,GTmen,Porsche 911 RSR,,1,,"0:51:22,897","+ 0:37,063",31,,31,,11,International Racing Crew [2],HM_derspieth,21,Highwaystar1980,16,37
,12,,Kawa-Jo,Roadrunner Racing,Nissan GT-R '18,,1,,"0:51:23,155","+ 0:37,321",30,,30,,12,GTmen [2],crysu69,24,TheLamb74,10,34
,13,,c-maanreri,Singen Süd Racing,McLaren 650S,,2,,"0:51:26,613","+ 0:40,779",29,,29,,13,Rhein-Rur-Motosport [1],Erik_Ewetke,20,oooBismarkooo,13,33
,14,,HankCastelli,Roadrunner Racing,Peugeot RCZ,,1,,"0:51:31,288","+ 0:45,454",28,,28,,14,Project Apex [1],PrA-doctorjones,27,,,27
,15,,PrA-doctorjones,Project Apex,Porsche 911 RSR,,2,,"0:51:31,307","+ 0:45,473",27,,27,,15,Fun Racing League [1],Dr-Prof-BamBam,26,,,26
,16,,Dr-Prof-BamBam,Fun Racing League,Porsche 911 RSR,,2,,"0:51:32,078","+ 0:46,244",26,,26,,16,Herrmann Motorsport [1],Bladde90,18,HM_Tobi,8,26
,17,,PMR_Swissracer66,International Racing Crew,Mercedes AMG GT3 '20,,1,,"0:51:32,849","+ 0:47,015",25,,25,,17,de Shadaim Racing [2],J-de-Shadaim,15,,,15
,18,,crysu69,GTmen,VW BEETLE,,1,,"0:51:42,592","+ 0:56,758",24,,24,,18,Racing Team Coyote [1],PrimeapeX21,14,,,14
,19,,mr_osaka7,de Shadaim Racing,Mercedes AMG GT3 '20,,2,,"0:51:42,628","+ 0:56,794",23,,23,,19,Maibert MacLon Racing [2],GT-Hosss669,9,Beni_149,5,14
,20,,ren-bvb09,Singen Süd Racing,Nissan GT-R '18,,3,,"0:51:44,407","+ 0:58,573",22,,22,,20,Roadrunner Racing [2],SJB_1973,12,,,12
,21,,HM_derspieth,International Racing Crew,Porsche 911 RSR,,2,,"0:51:46,871","+ 1:01,037",21,,21,,21,THE Roadrunners [1],Quitzowscaniav88,1,,,1
,22,,Erik_Ewetke,Rhein-Rur-Motosport,Porsche 911 RSR,,1,,"0:51:47,234","+ 1:01,400",20,,20,,22,Rhein-Rur-Motosport [2],Lumpi-0707,1,,,1
,23,,MSWdjjc27,de Shadaim Racing,Mercedes AMG GT3 '20,,1,,"0:51:48,129","+ 1:02,295",19,,19,,,,,,,,
,24,,Bladde90,Herrmann Motorsport,Porsche 911 RSR,,2,,"0:51:49,952","+ 1:04,118",18,,18,,,,,,,,
,25,,Peter-zockt-1984,Maibert MacLon Racing,Peugeot RCZ,,2,,"0:51:50,261","+ 1:04,427",17,,17,,,,,,,,
,26,,Highwaystar1980,International Racing Crew,Porsche 911 RSR,,3,+5s,"0:52:00,464","+ 1:14,630",16,,16,,,,,,,,
,27,,J-de-Shadaim,de Shadaim Racing,Alfa 4C,,1,,"0:52:01,460","+ 1:15,626",15,,15,,,,,,,,
,28,,PrimeapeX21,Racing Team Coyote,BMW M6 Sprint '16,,3,,"0:52:02,445","+ 1:16,611",14,,14,,,,,,,,
,29,,oooBismarkooo,Rhein-Rur-Motosport,Porsche 911 RSR,,3,,"0:52:08,284","+ 1:22,450",13,,13,,,,,,,,
,30,,SJB_1973,Roadrunner Racing,McLaren 650S,,2,,"0:52:08,898","+ 1:23,064",12,,12,,,,,,,,
,31,,Uchiha14,Singen Süd Racing,Nissan GT-R '18,,2,,"0:52:16,779","+ 1:30,945",11,,11,,,,,,,,
,32,,TheLamb74,GTmen,Subaru BRZ GT300 '21,,3,,"0:52:20,639","+ 1:34,805",10,,10,,,,,,,,
,33,,GT-Hosss669,Maibert MacLon Racing,Ferrari 458,,3,,"0:52:20,799","+ 1:34,965",9,,9,,,,,,,,
,34,,HM_Tobi,Herrmann Motorsport,Porsche 911 RSR,,3,,"0:52:38,189","+ 1:52,355",8,,8,,,,,,,,
,35,,LNX1613,International Racing Crew,Porsche 911 RSR,,2,,"0:52:42,447","+ 1:56,613",7,,7,,,,,,,,
,36,,benbenSTM,,Porsche 911 RSR,,3,,"0:53:02,146","+ 2:16,312",6,,6,,,,,,,,
,37,,Beni_149,Maibert MacLon Racing,Audi R8 LMS Evo '19,,3,+10s,"0:53:17,000","+ 2:31,166",5,,5,,,,,,,,
,38,,TheGreatBeamie,,Porsche 911 RSR,,3,,"0:53:28,305","+ 2:42,471",4,,4,,,,,,,,
,39,,L-O-N,Maibert MacLon Racing,Audi R8 LMS Evo '19,,3,,"0:53:49,312","+ 3:03,478",3,,3,,,,,,,,
,40,,Lumpi-0707,Rhein-Rur-Motosport,Porsche 911 RSR,,3,,"8:00:00,000",DNF,1,,1,,,,,,,,
,41,,Quitzowscaniav88,THE Roadrunners,Porsche 911 RSR,,3,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,22,,Driver,,,Team-1,3,,4,,Σ 2
,,,de Shadaim Racing [1],mr_osaka7,23,MSWdjjc27,19,42,1,de Shadaim Racing,,,3,,,de Shadaim Racing [2],J-de-Shadaim,15,,,15
,,,Feelgood Racing [1],FGR_Supergt,37,,,37s,2,Feelgood Racing,,,1,,,,,,,,
,,,Fun Racing League [1],Dr-Prof-BamBam,26,,,26s,3,Fun Racing League,,,1,,,,,,,,
,,,GTmen [1],MacFracerEX,40,mironight1,31,71s,4,GTmen,,,4,,,GTmen [2],crysu69,24,TheLamb74,10,34
,,,Herrmann Motorsport [1],Bladde90,18,HM_Tobi,8,26s,5,Herrmann Motorsport,,,2,,,,,,,,
,,,International Racing Crew [1],Roozay_33,44,PMR_Swissracer66,25,69s,6,International Racing Crew,,,5,,,International Racing Crew [2],HM_derspieth,21,Highwaystar1980,16,37
,,,KotzBärTV [1],KBTV_funky,42,KBTV_Rocket,35,77s,7,KotzBärTV,,,4,,,KotzBärTV [2],KBTV_xpress,33,KBTV_Normbiz_GT,32,65
,,,Maibert MacLon Racing [1],GORGI_meets_GT,37,Peter-zockt-1984,17,54s,8,Maibert MacLon Racing,,,5,,,Maibert MacLon Racing [2],GT-Hosss669,9,Beni_149,5,14
,,,Project Apex [1],PrA-doctorjones,27,,,27s,9,Project Apex,,,1,,,,,,,,
,,,Racing Team Coyote [1],PrimeapeX21,14,,,14s,10,Racing Team Coyote,,,1,,,,,,,,
,,,Rhein-Rur-Motosport [1],Erik_Ewetke,20,oooBismarkooo,13,33s,11,Rhein-Rur-Motosport,,,3,,,Rhein-Rur-Motosport [2],Lumpi-0707,1,,,1
,,,Roadrunner Racing [1],Kawa-Jo,30,HankCastelli,28,58s,12,Roadrunner Racing,,,3,,,Roadrunner Racing [2],SJB_1973,12,,,12
,,,Singen Süd Racing [1],Over_1638,38,Schweikinho,34,72s,13,Singen Süd Racing,,,5,,,Singen Süd Racing [2],c-maanreri,29,ren-bvb09,22,51
,,,THE Roadrunners [1],Quitzowscaniav88,1,,,1s,14,THE Roadrunners,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CD,CI,CJ,,,,,,,,,,,,